2023-07-19 20:30:Train Epoch:0	Loss:49.425239131
2023-07-19 20:30:Train Epoch:1	Loss:37.088692546
2023-07-19 20:30:Train Epoch:2	Loss:30.633011177
2023-07-19 20:30:Train Epoch:3	Loss:26.966797501
2023-07-19 20:30:Train Epoch:4	Loss:26.797206262
2023-07-19 20:30:Train Epoch:5	Loss:26.112133935
2023-07-19 20:30:Train Epoch:6	Loss:25.963534476
2023-07-19 20:30:Train Epoch:7	Loss:25.828945465
2023-07-19 20:30:Train Epoch:8	Loss:25.839636178
2023-07-19 20:30:Train Epoch:9	Loss:25.877299942
2023-07-19 20:30:Train Epoch:10	Loss:25.865474308
2023-07-19 20:30:Train Epoch:11	Loss:25.815713294
2023-07-19 20:30:Train Epoch:12	Loss:25.782751078
2023-07-19 20:31:Train Epoch:13	Loss:25.653392242
2023-07-19 20:31:Train Epoch:14	Loss:25.720833993
2023-07-19 20:31:Train Epoch:15	Loss:25.705269134
2023-07-19 20:31:Train Epoch:16	Loss:25.829099152
2023-07-19 20:31:Train Epoch:17	Loss:25.585178521
2023-07-19 20:31:Train Epoch:18	Loss:25.763166312
2023-07-19 20:31:Train Epoch:19	Loss:25.595293736
2023-07-19 20:31:Train Epoch:20	Loss:25.583814787
2023-07-19 20:31:Train Epoch:21	Loss:25.828978155
2023-07-19 20:31:Train Epoch:22	Loss:25.490846355
2023-07-19 20:31:Train Epoch:23	Loss:25.627835631
2023-07-19 20:31:Train Epoch:24	Loss:25.523028865
2023-07-19 20:31:Train Epoch:25	Loss:25.459355336
2023-07-19 20:31:Train Epoch:26	Loss:25.478804350
2023-07-19 20:31:Train Epoch:27	Loss:25.459969074
2023-07-19 20:31:Train Epoch:28	Loss:25.437350623
2023-07-19 20:31:Train Epoch:29	Loss:25.558306137
2023-07-19 20:31:Train Epoch:30	Loss:25.561259499
2023-07-19 20:31:Train Epoch:31	Loss:25.528498460
2023-07-19 20:31:Train Epoch:32	Loss:25.551013144
2023-07-19 20:31:Train Epoch:33	Loss:25.396339295
2023-07-19 20:31:Train Epoch:34	Loss:25.511873145
2023-07-19 20:31:Train Epoch:35	Loss:25.335397528
2023-07-19 20:31:Train Epoch:36	Loss:25.502073800
2023-07-19 20:31:Train Epoch:37	Loss:25.439107148
2023-07-19 20:31:Train Epoch:38	Loss:25.373093208
2023-07-19 20:31:Train Epoch:39	Loss:25.502247464
2023-07-19 20:31:Train Epoch:40	Loss:25.364150226
2023-07-19 20:31:Train Epoch:41	Loss:25.294861797
2023-07-19 20:31:Train Epoch:42	Loss:25.348338140
2023-07-19 20:31:Train Epoch:43	Loss:25.342823278
2023-07-19 20:31:Train Epoch:44	Loss:25.357392263
2023-07-19 20:31:Train Epoch:45	Loss:25.284502883
2023-07-19 20:31:Train Epoch:46	Loss:25.360873893
2023-07-19 20:32:Train Epoch:47	Loss:25.354249407
2023-07-19 20:32:Train Epoch:48	Loss:25.366155092
2023-07-19 20:32:Train Epoch:49	Loss:25.390890881
2023-07-19 20:32:Train Epoch:50	Loss:25.209024396
2023-07-19 20:32:Train Epoch:51	Loss:25.251583917
2023-07-19 20:32:Train Epoch:52	Loss:25.279339476
2023-07-19 20:32:Train Epoch:53	Loss:25.123867940
2023-07-19 20:32:Train Epoch:54	Loss:25.224181484
2023-07-19 20:32:Train Epoch:55	Loss:25.178277176
2023-07-19 20:32:Train Epoch:56	Loss:25.230166079
2023-07-19 20:32:Train Epoch:57	Loss:25.164909326
2023-07-19 20:32:Train Epoch:58	Loss:25.073506851
2023-07-19 20:32:Train Epoch:59	Loss:25.239116997
2023-07-19 20:32:Train Epoch:60	Loss:25.191386903
2023-07-19 20:32:Train Epoch:61	Loss:25.178113552
2023-07-19 20:32:Train Epoch:62	Loss:25.221404260
2023-07-19 20:32:Train Epoch:63	Loss:25.115106242
2023-07-19 20:32:Train Epoch:64	Loss:25.162781255
2023-07-19 20:32:Train Epoch:65	Loss:25.117147010
2023-07-19 20:32:Train Epoch:66	Loss:25.050787628
2023-07-19 20:32:Train Epoch:67	Loss:25.012893228
