2023-06-25 22:56:Train Epoch:0	Loss:29.909179676
2023-06-25 22:56:Train Epoch:1	Loss:9.061897411
2023-06-25 22:56:Train Epoch:2	Loss:3.171594113
2023-06-25 22:56:Train Epoch:3	Loss:2.006309554
2023-06-25 22:56:Train Epoch:4	Loss:1.567712341
2023-06-25 22:56:Train Epoch:5	Loss:1.407041865
2023-06-25 22:56:Train Epoch:6	Loss:1.212242890
2023-06-25 22:56:Train Epoch:7	Loss:1.141461577
2023-06-25 22:56:Train Epoch:8	Loss:1.041307164
2023-06-25 22:56:Train Epoch:9	Loss:0.991169957
2023-06-25 22:56:Train Epoch:10	Loss:0.951253218
2023-06-25 22:56:Train Epoch:11	Loss:0.920033712
2023-06-25 22:56:Train Epoch:12	Loss:0.864609932
2023-06-25 22:56:Train Epoch:13	Loss:0.858951440
2023-06-25 22:56:Train Epoch:14	Loss:0.831830854
2023-06-25 22:56:Train Epoch:15	Loss:0.829096925
2023-06-25 22:56:Train Epoch:16	Loss:0.749496334
2023-06-25 22:56:Train Epoch:17	Loss:0.761678797
2023-06-25 22:57:Train Epoch:18	Loss:0.757084326
2023-06-25 22:57:Train Epoch:19	Loss:0.728188491
2023-06-25 22:57:Train Epoch:20	Loss:0.688654145
2023-06-25 22:57:Train Epoch:21	Loss:0.683554958
2023-06-25 22:57:Train Epoch:22	Loss:0.714033911
2023-06-25 22:57:Train Epoch:23	Loss:0.698152554
2023-06-25 22:57:Train Epoch:24	Loss:0.637338504
2023-06-25 22:57:Train Epoch:25	Loss:0.674394161
2023-06-25 22:57:Train Epoch:26	Loss:0.671223564
2023-06-25 22:57:Train Epoch:27	Loss:0.648328295
2023-06-25 22:57:Train Epoch:28	Loss:0.683879812
2023-06-25 22:57:Train Epoch:29	Loss:0.608151216
2023-06-25 22:57:Train Epoch:30	Loss:0.665599470
2023-06-25 22:57:Train Epoch:31	Loss:0.586853662
2023-06-25 22:57:Train Epoch:32	Loss:0.591310994
2023-06-25 22:57:Train Epoch:33	Loss:0.597801108
2023-06-25 22:57:Train Epoch:34	Loss:0.549276057
2023-06-25 22:57:Train Epoch:35	Loss:0.595185283
2023-06-25 22:57:Train Epoch:36	Loss:0.581557806
2023-06-25 22:57:Train Epoch:37	Loss:0.529807189
2023-06-25 22:57:Train Epoch:38	Loss:0.563333914
2023-06-25 22:57:Train Epoch:39	Loss:0.524149615
2023-06-25 22:57:Train Epoch:40	Loss:0.563242190
2023-06-25 22:57:Train Epoch:41	Loss:0.727613790
2023-06-25 22:57:Train Epoch:42	Loss:0.577623385
2023-06-25 22:57:Train Epoch:43	Loss:0.539166868
2023-06-25 22:57:Train Epoch:44	Loss:0.494699634
2023-06-25 22:57:Train Epoch:45	Loss:0.506328667
2023-06-25 22:58:Train Epoch:46	Loss:0.520881589
2023-06-25 22:58:Train Epoch:47	Loss:0.502479612
2023-06-25 22:58:Train Epoch:48	Loss:0.502426391
2023-06-25 22:58:Train Epoch:49	Loss:0.464362650
2023-06-25 22:58:Train Epoch:50	Loss:0.464507218
2023-06-25 22:58:Train Epoch:51	Loss:0.424055694
2023-06-25 22:58:Train Epoch:52	Loss:0.521122455
2023-06-25 22:58:Train Epoch:53	Loss:0.465871922
2023-06-25 22:58:Train Epoch:54	Loss:0.455684928
2023-06-25 22:58:Train Epoch:55	Loss:0.483478242
2023-06-25 22:58:Train Epoch:56	Loss:0.519634714
2023-06-25 22:58:Train Epoch:57	Loss:0.478773578
2023-06-25 22:58:Train Epoch:58	Loss:0.397465760
2023-06-25 22:58:Train Epoch:59	Loss:0.464436251
2023-06-25 22:58:Train Epoch:60	Loss:0.435741089
2023-06-25 22:58:Train Epoch:61	Loss:0.403446164
2023-06-25 22:58:Train Epoch:62	Loss:0.380014136
2023-06-25 22:58:Train Epoch:63	Loss:0.402002867
2023-06-25 22:58:Train Epoch:64	Loss:0.384845137
2023-06-25 22:58:Train Epoch:65	Loss:0.386843849
2023-06-25 22:58:Train Epoch:66	Loss:0.467930832
2023-06-25 22:58:Train Epoch:67	Loss:0.420706639
2023-06-25 22:58:Train Epoch:68	Loss:0.375694461
2023-06-25 22:58:Train Epoch:69	Loss:0.376488260
2023-06-25 22:58:Train Epoch:70	Loss:0.354505578
2023-06-25 22:58:Train Epoch:71	Loss:0.344401185
2023-06-25 22:58:Train Epoch:72	Loss:0.416110166
2023-06-25 22:59:Train Epoch:73	Loss:0.478374681
2023-06-25 22:59:Train Epoch:74	Loss:0.380985691
2023-06-25 22:59:Train Epoch:75	Loss:0.351957490
2023-06-25 22:59:Train Epoch:76	Loss:0.350476367
2023-06-25 22:59:Train Epoch:77	Loss:0.342462559
2023-06-25 22:59:Train Epoch:78	Loss:0.340806830
2023-06-25 22:59:Train Epoch:79	Loss:0.339000901
