2023-07-07 18:18:Train Epoch:0	Loss:44.243857611
2023-07-07 18:18:Train Epoch:1	Loss:26.069970876
2023-07-07 18:18:Train Epoch:2	Loss:25.722745702
2023-07-07 18:18:Train Epoch:3	Loss:25.915725827
2023-07-07 18:18:Train Epoch:4	Loss:25.652161255
2023-07-07 18:18:Train Epoch:5	Loss:25.791500902
2023-07-07 18:18:Train Epoch:6	Loss:25.657805438
2023-07-07 18:18:Train Epoch:7	Loss:25.761598902
2023-07-07 18:18:Train Epoch:8	Loss:25.746619778
2023-07-07 18:18:Train Epoch:9	Loss:25.856849313
2023-07-07 18:18:Train Epoch:10	Loss:25.681295034
2023-07-07 18:18:Train Epoch:11	Loss:25.667259487
2023-07-07 18:18:Train Epoch:12	Loss:25.776842304
2023-07-07 18:18:Train Epoch:13	Loss:25.584700332
2023-07-07 18:18:Train Epoch:14	Loss:25.629610112
2023-07-07 18:18:Train Epoch:15	Loss:25.742950661
2023-07-07 18:18:Train Epoch:16	Loss:25.652819674
2023-07-07 18:18:Train Epoch:17	Loss:25.690889312
2023-07-07 18:18:Train Epoch:18	Loss:25.667630747
2023-07-07 18:18:Train Epoch:19	Loss:25.653941851
2023-07-07 18:18:Train Epoch:20	Loss:25.583222928
2023-07-07 18:18:Train Epoch:21	Loss:25.622337153
2023-07-07 18:18:Train Epoch:22	Loss:25.585329925
2023-07-07 18:18:Train Epoch:23	Loss:25.708229993
2023-07-07 18:18:Train Epoch:24	Loss:25.674101625
2023-07-07 18:18:Train Epoch:25	Loss:25.569774285
2023-07-07 18:19:Train Epoch:26	Loss:25.598275295
2023-07-07 18:19:Train Epoch:27	Loss:25.532105925
2023-07-07 18:19:Train Epoch:28	Loss:25.510799723
2023-07-07 18:19:Train Epoch:29	Loss:25.503019639
2023-07-07 18:19:Train Epoch:30	Loss:25.332749919
2023-07-07 18:19:Train Epoch:31	Loss:25.542306779
2023-07-07 18:19:Train Epoch:32	Loss:25.392683748
2023-07-07 18:19:Train Epoch:33	Loss:25.554093435
2023-07-07 18:19:Train Epoch:34	Loss:25.561206485
2023-07-07 18:19:Train Epoch:35	Loss:25.499520523
2023-07-07 18:19:Train Epoch:36	Loss:25.414393648
2023-07-07 18:19:Train Epoch:37	Loss:25.464679151
2023-07-07 18:19:Train Epoch:38	Loss:25.570798088
2023-07-07 18:19:Train Epoch:39	Loss:25.567299180
2023-07-07 18:19:Train Epoch:40	Loss:25.451079316
2023-07-07 18:19:Train Epoch:41	Loss:25.426100235
2023-07-07 18:19:Train Epoch:42	Loss:25.402607834
2023-07-07 18:19:Train Epoch:43	Loss:25.521236667
2023-07-07 18:19:Train Epoch:44	Loss:25.483331943
2023-07-07 18:19:Train Epoch:45	Loss:25.477547254
2023-07-07 18:19:Train Epoch:46	Loss:25.432237009
2023-07-07 18:19:Train Epoch:47	Loss:25.649220726
2023-07-07 18:19:Train Epoch:48	Loss:25.525314742
2023-07-07 18:19:Train Epoch:49	Loss:25.385268764
2023-07-07 18:19:Train Epoch:50	Loss:25.401157146
2023-07-07 18:19:Train Epoch:51	Loss:25.425957915
2023-07-07 18:19:Train Epoch:52	Loss:25.364813521
2023-07-07 18:19:Train Epoch:53	Loss:25.490051132
2023-07-07 18:19:Train Epoch:54	Loss:25.369142998
2023-07-07 18:19:Train Epoch:55	Loss:25.343333128
2023-07-07 18:19:Train Epoch:56	Loss:25.355148343
2023-07-07 18:19:Train Epoch:57	Loss:25.375166425
2023-07-07 18:19:Train Epoch:58	Loss:25.319921137
2023-07-07 18:19:Train Epoch:59	Loss:25.279259901
2023-07-07 18:20:Train Epoch:60	Loss:25.275873662
2023-07-07 18:20:Train Epoch:61	Loss:25.289703703
2023-07-07 18:20:Train Epoch:62	Loss:25.366702219
2023-07-07 18:20:Train Epoch:63	Loss:25.424862241
2023-07-07 18:20:Train Epoch:64	Loss:25.291617750
2023-07-07 18:20:Train Epoch:65	Loss:25.306694712
2023-07-07 18:20:Train Epoch:66	Loss:25.268645217
2023-07-07 18:20:Train Epoch:67	Loss:25.389076142
2023-07-07 18:20:Train Epoch:68	Loss:25.284035427
2023-07-07 18:20:Train Epoch:69	Loss:25.354498167
2023-07-07 18:20:Train Epoch:70	Loss:25.328804463
2023-07-07 18:20:Train Epoch:71	Loss:25.305112930
2023-07-07 18:20:Train Epoch:72	Loss:25.287397259
2023-07-07 18:20:Train Epoch:73	Loss:25.310207304
2023-07-07 18:20:Train Epoch:74	Loss:25.183150833
2023-07-07 18:20:Train Epoch:75	Loss:25.281668359
2023-07-07 18:20:Train Epoch:76	Loss:25.298844222
2023-07-07 18:20:Train Epoch:77	Loss:25.308111925
2023-07-07 18:20:Train Epoch:78	Loss:25.142886018
2023-07-07 18:20:Train Epoch:79	Loss:25.194271885
2023-07-07 18:20:Train Epoch:80	Loss:25.306797750
2023-07-07 18:20:Train Epoch:81	Loss:25.203987262
2023-07-07 18:20:Train Epoch:82	Loss:25.306599429
2023-07-07 18:20:Train Epoch:83	Loss:25.269499556
2023-07-07 18:20:Train Epoch:84	Loss:25.191221424
2023-07-07 18:20:Train Epoch:85	Loss:25.250070076
