2023-07-07 23:40:Train Epoch:0	Loss:41.426026836
2023-07-07 23:40:Train Epoch:1	Loss:25.787176630
2023-07-07 23:40:Train Epoch:2	Loss:24.860193053
2023-07-07 23:40:Train Epoch:3	Loss:22.947951591
2023-07-07 23:40:Train Epoch:4	Loss:16.833149649
2023-07-07 23:40:Train Epoch:5	Loss:9.217285196
2023-07-07 23:40:Train Epoch:6	Loss:4.852523420
2023-07-07 23:40:Train Epoch:7	Loss:3.699162030
2023-07-07 23:40:Train Epoch:8	Loss:3.219526816
2023-07-07 23:40:Train Epoch:9	Loss:2.876467565
2023-07-07 23:40:Train Epoch:10	Loss:2.424390296
2023-07-07 23:40:Train Epoch:11	Loss:2.467629149
2023-07-07 23:40:Train Epoch:12	Loss:2.448809329
2023-07-07 23:40:Train Epoch:13	Loss:2.225947176
2023-07-07 23:40:Train Epoch:14	Loss:2.109818053
2023-07-07 23:40:Train Epoch:15	Loss:1.893040036
2023-07-07 23:40:Train Epoch:16	Loss:1.756197424
2023-07-07 23:41:Train Epoch:17	Loss:1.566718050
2023-07-07 23:41:Train Epoch:18	Loss:1.586601578
2023-07-07 23:41:Train Epoch:19	Loss:1.646456612
2023-07-07 23:41:Train Epoch:20	Loss:1.464505578
2023-07-07 23:41:Train Epoch:21	Loss:1.464384309
2023-07-07 23:41:Train Epoch:22	Loss:1.777449241
2023-07-07 23:41:Train Epoch:23	Loss:1.527976355
2023-07-07 23:41:Train Epoch:24	Loss:1.446141225
2023-07-07 23:41:Train Epoch:25	Loss:1.319004994
2023-07-07 23:41:Train Epoch:26	Loss:1.160591558
2023-07-07 23:41:Train Epoch:27	Loss:1.256045336
2023-07-07 23:41:Train Epoch:28	Loss:1.192180382
2023-07-07 23:41:Train Epoch:29	Loss:1.101215699
2023-07-07 23:41:Train Epoch:30	Loss:1.159887654
2023-07-07 23:41:Train Epoch:31	Loss:1.182110437
2023-07-07 23:41:Train Epoch:32	Loss:1.197399576
2023-07-07 23:41:Train Epoch:33	Loss:1.200144316
2023-07-07 23:41:Train Epoch:34	Loss:1.071870207
2023-07-07 23:41:Train Epoch:35	Loss:1.010480143
2023-07-07 23:41:Train Epoch:36	Loss:0.956401441
2023-07-07 23:41:Train Epoch:37	Loss:1.109113984
2023-07-07 23:41:Train Epoch:38	Loss:1.077212275
2023-07-07 23:41:Train Epoch:39	Loss:0.961402282
2023-07-07 23:41:Train Epoch:40	Loss:0.991923754
2023-07-07 23:42:Train Epoch:41	Loss:1.013722983
2023-07-07 23:42:Train Epoch:42	Loss:0.997465746
2023-07-07 23:42:Train Epoch:43	Loss:1.180245735
2023-07-07 23:42:Train Epoch:44	Loss:1.086952647
2023-07-07 23:42:Train Epoch:45	Loss:0.920018001
